Record ID,Platform,Post Content,Media Type,Post Date & Time,User Name,City,State,Country,Engagement Type,Hashtags Used,Mentions,Engagement Count,Comments Text,Age_Group,User Demographics,Post Link,Campaign Name,Post Reach,User Profile Link,Post Impressions,Post Shares,Sponsored,Cost(USD)
18,TikTok,This is a sample post content,Video,08-11-2023 18:54,Noah,Sydney, NSW, Australia,Comment,#trending,@alice,17656,Thanks for sharing!,25-34,Female,http://socialmedia.com/post/617991,Summer Collection,100129,http://socialmedia.com/post/609942,169772,632431,FALSE,130144
19,Instagram,Loving the vibes here!,Image,10-03-2023 10:58,Aanya,Mumbai, Maharashtra, India,Like,#trending,@charlie,28980,Awesome product!,18-24,Female,http://socialmedia.com/post/696352,Winter Sale,117070,http://socialmedia.com/post/928031,471966,25353,FALSE,112903
20,Facebook,Check out our new product!,Video,25-07-2023 05:43,Emma,Sydney, NSW, Australia,Like,#trending,@charlie,30285,Thanks for sharing!,18-24,Male,http://socialmedia.com/post/671370,New Product Launch,91494,http://socialmedia.com/post/705441,10769,900825,FALSE,225135
21,Instagram,Check out our new product!,Image,28-11-2023 23:57,Sophie,London, England, UK,Comment,#trending,@charlie,2100,Great post!,25-34,Male,http://socialmedia.com/post/108811,Winter Sale,552204,http://socialmedia.com/post/475521,830019,749368,TRUE,396495
22,TikTok,Check out our new product!,Text,17-03-2023 15:53,Emily,London, England, UK,Like,#sample,@alice,1056,Awesome product!,25-34,Male,http://socialmedia.com/post/984872,Summer Collection,777052,http://socialmedia.com/post/666916,999786,736133,TRUE,322524
23,Twitter,Loving the vibes here!,Text,15-05-2023 16:41,Olivia,Sydney, NSW, Australia,Comment,#trending,@charlie,858,Awesome product!,25-34,Male,http://socialmedia.com/post/551403,Summer Collection,475528,http://socialmedia.com/post/186092,334229,535260,FALSE,246208
24,Instagram,Check out our new product!,Image,15-11-2023 10:33,Vivaan,Mumbai, Maharashtra, India,Comment,#trending,@bob,54528,Awesome product!,18-24,Female,http://socialmedia.com/post/332386,New Product Launch,756762,http://socialmedia.com/post/906496,771384,,TRUE,399984
25,Instagram,This is a sample post content Check out our New Product Launch!,Text,16-02-2023 09:41,Emma,Sydney, NSW, Australia,Like,#newproduct,@alice,464,Awesome product!,25-34,Female,http://socialmedia.com/post/472569,Winter Sale,234066,http://socialmedia.com/post/317880,145559,,FALSE,230492
26,Facebook,Check out our new product!,Text,09-06-2023 21:16,Aarav,Mumbai, Maharashtra, India,Share,#trending,@charlie,2265,Great post!,18-24,Male,http://socialmedia.com/post/252971,Winter Sale,361795,http://socialmedia.com/post/685695,471583,,FALSE,197110
27,Facebook,Check out our new product!,Image,04-02-2023 11:27,Aanya,Mumbai, Maharashtra, India,Comment,#sample,@bob,64530,Great post!,25-34,Female,http://socialmedia.com/post/301935,Summer Collection,847972,http://socialmedia.com/post/645388,962308,,TRUE,298445
28,Instagram,This is a sample post content Check out our New Product Launch!,Image,27-03-2023 15:14,Liam,Sydney, NSW, Australia,Like,#newproduct,@bob,19204,Awesome product!,25-34,Male,http://socialmedia.com/post/442673,Winter Sale,238034,http://socialmedia.com/post/37088,294296,,FALSE,105618
29,LinkedIn,Loving the vibes here!,Image,26-06-2023 16:55,Harry,London, England, UK,Like,#sample,@alice,5868,Thanks for sharing!,25-34,Female,http://socialmedia.com/post/507935,Summer Collection,217113,http://socialmedia.com/post/937862,416737,,FALSE,421511
30,Instagram,Check out our new product!,Video,19-04-2023 02:11,James,New York, NY, USA,Comment,#trending,@charlie,7696,Awesome product!,25-34,Male,http://socialmedia.com/post/663862,Winter Sale,463036,http://socialmedia.com/post/726793,296172,,FALSE,150591
31,LinkedIn,Loving the vibes here! Check out our New Product Launch!,Text,08-09-2023 22:55,Vivaan,Mumbai, Maharashtra, India,Like,#newproduct,@charlie,1988,Awesome product!,25-34,Female,http://socialmedia.com/post/997488,Winter Sale,330306,http://socialmedia.com/post/628097,833,,FALSE,189334
32,Facebook,Loving the vibes here! Check out our New Product Launch!,Video,27-07-2023 05:14,Emma,Sydney, NSW, Australia,Like,#newproduct,@alice,1290,Thanks for sharing!,18-24,Female,http://socialmedia.com/post/941159,Winter Sale,27240,http://socialmedia.com/post/439205,325806,743312,FALSE,275098
33,TikTok,This is a sample post content,Text,18-08-2023 13:33,Oliver,London, England, UK,Like,#sample,@bob,844,Awesome product!,18-24,Male,http://socialmedia.com/post/767497,Winter Sale,372543,http://socialmedia.com/post/289179,323835,64004,FALSE,272084
34,Facebook,Loving the vibes here! Check out our New Product Launch!,Link,01-10-2023 21:27,Patricia,New York, NY, USA,Share,#newproduct,@alice,2350,Thanks for sharing!,18-24,Male,http://socialmedia.com/post/984497,Summer Collection,127157,http://socialmedia.com/post/95779,393716,468461,FALSE,145384
35,Instagram,Check out our new product!,Image,17-01-2023 23:45,Vivaan,Mumbai, Maharashtra, India,Share,#trending,@charlie,23192,Thanks for sharing!,18-24,Male,http://socialmedia.com/post/859360,Winter Sale,489167,http://socialmedia.com/post/784064,134673,127926,FALSE,147042
36,Instagram,Check out our new product!,Text,25-03-2023 05:06,Patricia,New York, NY, USA,Comment,#sample,@charlie,2420,Awesome product!,25-34,Female,http://socialmedia.com/post/310964,New Product Launch,295225,http://socialmedia.com/post/980476,460997,747762,FALSE,136194
37,Instagram,This is a sample post content,Text,14-02-2023 21:38,Sophie,London, England, UK,Like,#trending,@charlie,570,Thanks for sharing!,18-24,Female,http://socialmedia.com/post/267715,Winter Sale,790512,http://socialmedia.com/post/720787,779652,613516,TRUE,368779
38,Snapchat,Check out our new product!,Text,14-03-2023 00:56,Patricia,New York, NY, USA,Comment,#sample,@charlie,738,Great post!,25-34,Male,http://socialmedia.com/post/893986,Winter Sale,989892,http://socialmedia.com/post/733466,527885,685132,TRUE,343225
39,LinkedIn,Loving the vibes here!,Image,24-11-2023 14:53,Emily,London, England, UK,Comment,#sample,@bob,1329,Awesome product!,18-24,Male,http://socialmedia.com/post/258478,Summer Collection,759745,http://socialmedia.com/post/165581,895802,213509,TRUE,276205
40,Facebook,Loving the vibes here!,Video,20-03-2023 07:39,James,New York, NY, USA,Like,#trending,@bob,120,Awesome product!,18-24,Female,http://socialmedia.com/post/299230,New Product Launch,55361,http://socialmedia.com/post/871425,408216,5122,FALSE,165187
41,Twitter,This is a sample post content,Text,13-04-2023 15:16,Sophie,London, England, UK,Like,#sample,@alice,1152,Awesome product!,18-24,Female,http://socialmedia.com/post/55480,Winter Sale,528279,http://socialmedia.com/post/813972,956704,443985,TRUE,417836
42,Twitter,This is a sample post content Check out our New Product Launch!,Video,25-06-2023 16:55,Aanya,Mumbai, Maharashtra, India,Comment,#newproduct,@charlie,1257,Awesome product!,18-24,Female,http://socialmedia.com/post/660913,Summer Collection,52954,http://socialmedia.com/post/931155,19426,154006,FALSE,157152
43,Instagram,This is a sample post content Check out our New Product Launch!,Video,23-05-2023 01:25,John,New York, NY, USA,Like,#newproduct,@alice,13676,Great post!,25-34,Male,http://socialmedia.com/post/619637,Summer Collection,1180,http://socialmedia.com/post/829485,465925,962691,FALSE,334132
44,Facebook,Check out our new product!,Image,02-10-2023 22:39,Oliver,London, England, UK,Like,#trending,@bob,295,Great post!,25-34,Male,http://socialmedia.com/post/868441,New Product Launch,478614,http://socialmedia.com/post/556932,260687,142256,FALSE,459691
45,Instagram,This is a sample post content Check out our New Product Launch!,Text,25-04-2023 22:57,Aarav,Mumbai, Maharashtra, India,Like,#newproduct,@bob,10052,Great post!,25-34,Male,http://socialmedia.com/post/538157,Winter Sale,44979,http://socialmedia.com/post/626155,186416,306621,FALSE,330942
46,Facebook,This is a sample post content,Video,03-10-2023 10:43,Liam,Sydney, NSW, Australia,Like,#sample,@bob,14480,Awesome product!,18-24,Female,http://socialmedia.com/post/581994,New Product Launch,257466,http://socialmedia.com/post/342031,261126,930524,FALSE,471806
47,LinkedIn,This is a sample post content,Image,03-10-2023 03:32,Vivaan,Mumbai, Maharashtra, India,Like,#trending,@alice,9240,Awesome product!,18-24,Female,http://socialmedia.com/post/23259,Summer Collection,952318,http://socialmedia.com/post/480929,839457,155593,TRUE,104890
48,Facebook,Check out our new product! Check out our New Product Launch!,Text,31-01-2023 17:47,Patricia,New York, NY, USA,Comment,#newproduct,@alice,1432.5,Thanks for sharing!,18-24,Male,http://socialmedia.com/post/813460,Summer Collection,711433,http://socialmedia.com/post/896974,792584,84410,TRUE,153621
49,LinkedIn,This is a sample post content,Video,05-04-2023 05:48,Sophie,London, England, UK,Like,#trending,@bob,768,Great post!,18-24,Male,http://socialmedia.com/post/184660,Summer Collection,622397,http://socialmedia.com/post/674779,753730,541998,TRUE,496454
50,LinkedIn,Loving the vibes here! Check out our New Product Launch!,Link,12-10-2023 04:30,James,New York, NY, USA,Comment,#newproduct,@charlie,18256,Great post!,25-34,Female,http://socialmedia.com/post/839850,Winter Sale,219743,http://socialmedia.com/post/852520,206336,387362,FALSE,179993
51,TikTok,This is a sample post content,Video,01-03-2023 12:00,Olivia,Sydney, NSW, Australia,Comment,#trending,@alice,8660,Great post!,25-34,Male,http://socialmedia.com/post/481588,Summer Collection,457927,http://socialmedia.com/post/191101,376005,278387,FALSE,287309
52,Twitter,Loving the vibes here!,Image,12-03-2023 16:33,James,New York, NY, USA,Like,#sample,@alice,1386,Thanks for sharing!,18-24,Male,http://socialmedia.com/post/923081,Summer Collection,960489,http://socialmedia.com/post/905554,768046,279079,TRUE,140892
53,Facebook,Check out our new product!,Video,09-10-2023 13:12,Aarav,Mumbai, Maharashtra, India,Comment,#trending,@bob,39915,Thanks for sharing!,18-24,Female,http://socialmedia.com/post/229041,Winter Sale,194924,http://socialmedia.com/post/246813,412867,558310,FALSE,230614
54,Twitter,Loving the vibes here! Check out our New Product Launch!,Link,25-02-2023 17:19,James,New York, NY, USA,Comment,#newproduct,@bob,2619,Awesome product!,18-24,Male,http://socialmedia.com/post/498885,Winter Sale,167167,http://socialmedia.com/post/149932,121271,228558,FALSE,372636
55,TikTok,This is a sample post content Check out our New Product Launch!,Image,01-04-2023 07:09,Olivia,Sydney, NSW, Australia,Like,#newproduct,@bob,792,Thanks for sharing!,18-24,Male,http://socialmedia.com/post/384294,Winter Sale,794317,http://socialmedia.com/post/406764,840172,382248,TRUE,466424
56,Snapchat,Loving the vibes here!,Video,29-12-2023 02:01,Aanya,Mumbai, Maharashtra, India,Like,#trending,@bob,538,Great post!,18-24,Male,http://socialmedia.com/post/610430,New Product Launch,186471,http://socialmedia.com/post/513663,349911,101901,FALSE,195253
57,Pinterest,This is a sample post content,Link,30-12-2023 00:36,John,New York, NY, USA,Like,#sample,@charlie,406,Thanks for sharing!,25-34,Female,http://socialmedia.com/post/112850,New Product Launch,352318,http://socialmedia.com/post/639238,250,500663,FALSE,140592
58,Instagram,Check out our new product!,Image,27-01-2023 17:55,Vivaan,Mumbai, Maharashtra, India,Share,#sample,@charlie,11784,Awesome product!,25-34,Female,http://socialmedia.com/post/130191,Summer Collection,362071,http://socialmedia.com/post/419415,212091,767060,FALSE,223055
59,LinkedIn,This is a sample post content,Image,06-09-2023 10:47,Liam,Sydney, NSW, Australia,Comment,#sample,@charlie,23004,Awesome product!,25-34,Male,http://socialmedia.com/post/761137,Summer Collection,792903,http://socialmedia.com/post/568594,736279,752441,TRUE,145896
60,Instagram,Loving the vibes here!,Video,19-02-2023 05:07,Emma,Sydney, NSW, Australia,Like,#trending,@alice,36764,Great post!,18-24,Male,http://socialmedia.com/post/840388,New Product Launch,257221,http://socialmedia.com/post/742428,305253,328398,FALSE,149636
61,Facebook,Loving the vibes here!,Video,24-07-2023 00:55,James,New York, NY, USA,Comment,#sample,@alice,19560,Thanks for sharing!,25-34,Female,http://socialmedia.com/post/657206,New Product Launch,491442,http://socialmedia.com/post/297564,322882,875877,FALSE,115037
62,Facebook,Check out our new product!,Image,27-04-2023 19:55,Mary,New York, NY, USA,Share,#sample,@charlie,11017.5,Thanks for sharing!,18-24,Male,http://socialmedia.com/post/528542,Winter Sale,545930,http://socialmedia.com/post/895572,938469,487890,TRUE,182027
63,Instagram,Loving the vibes here! Check out our New Product Launch!,Link,06-06-2023 21:27,Aarav,Mumbai, Maharashtra, India,Share,#newproduct,@charlie,14696,Thanks for sharing!,18-24,Male,http://socialmedia.com/post/345000,Winter Sale,296296,http://socialmedia.com/post/226945,332395,382605,FALSE,338642
64,LinkedIn,Loving the vibes here!,Video,14-12-2023 11:53,Emily,London, England, UK,Comment,#sample,@alice,10522,Thanks for sharing!,25-34,Male,http://socialmedia.com/post/352654,Winter Sale,283247,http://socialmedia.com/post/980095,237307,452280,FALSE,412234
65,YouTube,Check out our new product!,Image,27-06-2023 20:46,Vivaan,Mumbai, Maharashtra, India,Follow,#trending,@bob,31441.5,Thanks for sharing!,25-34,Female,http://socialmedia.com/post/464470,Winter Sale,521619,http://socialmedia.com/post/827775,595038,914382,TRUE,115227
66,Facebook,Loving the vibes here!,Text,16-06-2023 11:25,John,New York, NY, USA,Like,#sample,@charlie,56212.5,Awesome product!,25-34,Female,http://socialmedia.com/post/288005,New Product Launch,706200,http://socialmedia.com/post/514744,516819,598724,TRUE,278499
67,Snapchat,This is a sample post content Check out our New Product Launch!,Text,13-03-2023 22:25,Emma,Sydney, NSW, Australia,Comment,#newproduct,@charlie,7470,Thanks for sharing!,18-24,Female,http://socialmedia.com/post/884499,Winter Sale,715647,http://socialmedia.com/post/490458,790511,34748,TRUE,323463
68,Twitter,Check out our new product!,Text,07-06-2023 08:26,Aanya,Mumbai, Maharashtra, India,Share,#trending,@alice,585,Thanks for sharing!,18-24,Male,http://socialmedia.com/post/985117,New Product Launch,396451,http://socialmedia.com/post/397320,62411,694452,FALSE,205927
69,Facebook,Loving the vibes here!,Video,28-11-2023 03:25,Mary,New York, NY, USA,Like,#sample,@alice,330,Great post!,18-24,Female,http://socialmedia.com/post/252266,Winter Sale,113223,http://socialmedia.com/post/488470,365935,474512,FALSE,197573
70,TikTok,Check out our new product!,Video,23-05-2023 19:41,Emma,Sydney, NSW, Australia,Like,#sample,@alice,20100,Awesome product!,18-24,Male,http://socialmedia.com/post/531944,Summer Collection,962546,http://socialmedia.com/post/910241,919958,663407,TRUE,360461
71,Twitter,This is a sample post content,Video,24-08-2023 22:32,Emma,Sydney, NSW, Australia,Share,#trending,@alice,2109,Awesome product!,18-24,Female,http://socialmedia.com/post/558734,Summer Collection,411266,http://socialmedia.com/post/708220,460751,240767,FALSE,455296
72,Facebook,Loving the vibes here!,Video,07-01-2023 09:40,Olivia,Sydney, NSW, Australia,Like,#sample,@charlie,3142.5,Thanks for sharing!,25-34,Male,http://socialmedia.com/post/118779,Summer Collection,976716,http://socialmedia.com/post/34984,661387,534431,TRUE,101103
73,LinkedIn,Check out our new product! Check out our New Product Launch!,Text,07-05-2023 08:53,James,New York, NY, USA,Follow,#newproduct,@charlie,444,Thanks for sharing!,25-34,Male,http://socialmedia.com/post/525303,New Product Launch,73995,http://socialmedia.com/post/571217,33453,822121,FALSE,343314
74,Facebook,Check out our new product!,Video,10-04-2023 23:50,Noah,Sydney, NSW, Australia,Like,#trending,@charlie,2782.5,Great post!,18-24,Female,http://socialmedia.com/post/3837,New Product Launch,763836,http://socialmedia.com/post/580416,726998,330610,TRUE,329550
75,Facebook,This is a sample post content,Image,10-12-2023 02:23,Aarav,Mumbai, Maharashtra, India,Like,#trending,@bob,1192.5,Great post!,18-24,Male,http://socialmedia.com/post/622440,Winter Sale,796857,http://socialmedia.com/post/45832,818847,442075,TRUE,152474
76,Instagram,This is a sample post content,Video,28-07-2023 17:45,Aarav,Mumbai, Maharashtra, India,Like,#trending,@alice,3788,Awesome product!,18-24,Male,http://socialmedia.com/post/778460,Summer Collection,225250,http://socialmedia.com/post/460675,85469,188207,FALSE,293669
77,Snapchat,Check out our new product! Check out our New Product Launch!,Image,11-05-2023 11:02,James,New York, NY, USA,Comment,#newproduct,@charlie,84,Thanks for sharing!,18-24,Male,http://socialmedia.com/post/535094,Winter Sale,406056,http://socialmedia.com/post/54340,287472,754499,FALSE,148334
78,Facebook,Loving the vibes here!,Video,11-05-2023 16:07,Patricia,New York, NY, USA,Like,#trending,@bob,40630,Thanks for sharing!,25-34,Female,http://socialmedia.com/post/716631,Summer Collection,76021,http://socialmedia.com/post/381387,376061,771380,FALSE,351817
79,TikTok,Loving the vibes here! Check out our New Product Launch!,Video,01-03-2023 08:14,James,New York, NY, USA,Like,#newproduct,@bob,1548,Great post!,25-34,Male,http://socialmedia.com/post/102052,Summer Collection,769568,http://socialmedia.com/post/686918,677919,217147,TRUE,269957
80,Facebook,Loving the vibes here!,Video,22-08-2023 12:13,James,New York, NY, USA,Comment,#sample,@bob,3690,Thanks for sharing!,18-24,Male,http://socialmedia.com/post/299898,Summer Collection,555534,http://socialmedia.com/post/357545,589370,286017,TRUE,499554
81,Instagram,Check out our new product!,Image,07-02-2023 06:40,Oliver,London, England, UK,Like,#trending,@charlie,2970,Awesome product!,25-34,Male,http://socialmedia.com/post/378891,Summer Collection,688631,http://socialmedia.com/post/755052,970305,870772,TRUE,219755
82,Instagram,Check out our new product!,Image,17-05-2023 00:23,Noah,Sydney, NSW, Australia,Like,#trending,@alice,46602,Awesome product!,25-34,Male,http://socialmedia.com/post/957154,Summer Collection,806758,http://socialmedia.com/post/959066,799740,114721,TRUE,453898
83,Instagram,This is a sample post content Check out our New Product Launch!,Video,23-09-2023 06:37,Noah,Sydney, NSW, Australia,Comment,#newproduct,@charlie,8,Great post!,25-34,Male,http://socialmedia.com/post/403651,Winter Sale,204293,http://socialmedia.com/post/353909,434829,463372,FALSE,450424
84,Snapchat,This is a sample post content Check out our New Product Launch!,Video,04-05-2023 00:49,Aanya,Mumbai, Maharashtra, India,Like,#newproduct,@charlie,21297,Awesome product!,18-24,Male,http://socialmedia.com/post/70128,Winter Sale,910827,http://socialmedia.com/post/607033,899496,557308,TRUE,413738
85,Instagram,Loving the vibes here!,Image,08-06-2023 13:23,Olivia,Sydney, NSW, Australia,Comment,#sample,@bob,60,Awesome product!,18-24,Male,http://socialmedia.com/post/277911,Summer Collection,358088,http://socialmedia.com/post/1681,278212,364217,FALSE,487517
86,LinkedIn,Check out our new product!,Image,16-08-2023 09:51,Sophie,London, England, UK,Like,#trending,@alice,25380,Great post!,25-34,Male,http://socialmedia.com/post/75502,Summer Collection,804307,http://socialmedia.com/post/925166,629359,357796,TRUE,303668
87,LinkedIn,Loving the vibes here!,Image,03-10-2023 02:51,James,New York, NY, USA,Share,#sample,@charlie,213,Thanks for sharing!,25-34,Male,http://socialmedia.com/post/484913,New Product Launch,910548,http://socialmedia.com/post/955538,788734,33683,TRUE,440924
88,Instagram,Loving the vibes here!,Image,01-10-2023 12:26,James,New York, NY, USA,Comment,#trending,@alice,12768,Awesome product!,25-34,Male,http://socialmedia.com/post/146650,Winter Sale,688673,http://socialmedia.com/post/77236,986965,500956,TRUE,259300
89,Facebook,Check out our new product!,Video,26-08-2023 23:13,Aanya,Mumbai, Maharashtra, India,Comment,#trending,@alice,2422.5,Great post!,18-24,Female,http://socialmedia.com/post/459169,Summer Collection,735992,http://socialmedia.com/post/276173,551561,41631,TRUE,449485
90,Snapchat,This is a sample post content,Video,25-08-2023 17:38,James,New York, NY, USA,Comment,#sample,@charlie,282,Awesome product!,25-34,Female,http://socialmedia.com/post/399788,Summer Collection,490276,http://socialmedia.com/post/622220,219526,736896,FALSE,483935
91,Twitter,Check out our new product!,Image,01-04-2023 14:20,James,New York, NY, USA,Like,#sample,@alice,26343,Awesome product!,25-34,Female,http://socialmedia.com/post/284103,Summer Collection,78339,http://socialmedia.com/post/981472,230892,254948,FALSE,208799
92,Facebook,Loving the vibes here!,Image,22-11-2023 13:07,Aarav,Mumbai, Maharashtra, India,Comment,#sample,@charlie,2145,Great post!,18-24,Female,http://socialmedia.com/post/115750,Summer Collection,418087,http://socialmedia.com/post/523063,367147,906376,FALSE,488337
93,Instagram,Loving the vibes here!,Video,17-02-2023 16:26,Sophie,London, England, UK,Like,#sample,@alice,7776,Thanks for sharing!,18-24,Male,http://socialmedia.com/post/75280,Summer Collection,824591,http://socialmedia.com/post/518894,519382,829072,TRUE,170361
94,Facebook,Loving the vibes here! Check out our New Product Launch!,Link,06-04-2023 20:06,Aanya,Mumbai, Maharashtra, India,Like,#newproduct,@charlie,36025,Great post!,25-34,Female,http://socialmedia.com/post/174642,Winter Sale,88108,http://socialmedia.com/post/478698,32851,297658,FALSE,185466
95,LinkedIn,Check out our new product!,Image,28-08-2023 21:06,Olivia,Sydney, NSW, Australia,Like,#sample,@alice,546,Thanks for sharing!,25-34,Female,http://socialmedia.com/post/29786,Winter Sale,420705,http://socialmedia.com/post/419321,483677,885009,FALSE,350929
96,TikTok,This is a sample post content,Video,01-08-2023 14:11,Aarav,Mumbai, Maharashtra, India,Like,#sample,@alice,29736,Great post!,18-24,Female,http://socialmedia.com/post/355106,Summer Collection,641073,http://socialmedia.com/post/106746,803937,912604,TRUE,393416
97,Facebook,Loving the vibes here!,Text,04-04-2023 14:57,James,New York, NY, USA,Like,#sample,@alice,1910,Awesome product!,25-34,Male,http://socialmedia.com/post/685517,Summer Collection,5575,http://socialmedia.com/post/587197,465965,977906,FALSE,109102
98,Facebook,Loving the vibes here!,Image,28-04-2023 04:50,Oliver,London, England, UK,Comment,#trending,@charlie,35410,Great post!,25-34,Male,http://socialmedia.com/post/349607,Winter Sale,235184,http://socialmedia.com/post/849018,19432,937334,FALSE,310995
99,Facebook,Loving the vibes here!,Video,17-05-2023 11:46,Noah,Sydney, NSW, Australia,Like,#sample,@bob,40785,Great post!,18-24,Female,http://socialmedia.com/post/882835,New Product Launch,324962,http://socialmedia.com/post/89865,330056,822376,FALSE,473220
100,Facebook,This is a sample post content Check out our New Product Launch!,Image,17-01-2023 13:18,Olivia,Sydney, NSW, Australia,Like,#newproduct,@bob,43415,Awesome product!,18-24,Female,http://socialmedia.com/post/552017,New Product Launch,125055,http://socialmedia.com/post/927457,12290,510262,FALSE,466273
101,Instagram,Loving the vibes here!,Link,24-03-2023 22:21,Olivia,Sydney, NSW, Australia,Like,#sample,@bob,1180,Awesome product!,18-24,Female,http://socialmedia.com/post/155349,New Product Launch,110582,http://socialmedia.com/post/804891,198701,259595,FALSE,305358
102,Twitter,Check out our new product!,Text,22-07-2023 18:05,Sophie,London, England, UK,Comment,#trending,@charlie,3190.5,Awesome product!,25-34,Female,http://socialmedia.com/post/663670,Summer Collection,726443,http://socialmedia.com/post/702540,569368,572256,TRUE,408339
103,Snapchat,Check out our new product!,Image,13-07-2023 21:16,Vivaan,Mumbai, Maharashtra, India,Like,#sample,@alice,12351,Thanks for sharing!,18-24,Female,http://socialmedia.com/post/897691,New Product Launch,724712,http://socialmedia.com/post/679758,819142,17187,TRUE,309337
